PMC,PMCtitle,PMCabstract,Query_Protein,Query_Drug,ProteinNames,DrugNames,FuzzyMatchProtein,FuzzyMatchDrug,ExactMatchProtein,ExactMatchDrug,DrugMatch,CID,chain_of_thought_reasoning,drug,protein,effect,targeted_sentences,interaction_type,context,expt_type,expt_weight
PMC11050415,Anti-Atherosclerotic Properties of,The high content of bioactive compounds in,P05362,PCA,"['ICAM1', 'intercellular adhesion molecule 1', 'ICAM-1', 'Intercellular adhesion molecule 1']",['PCA'],[],[],"['ICAM1', 'intercellular adhesion molecule 1', 'ICAM-1', 'Intercellular adhesion molecule 1']",['PCA'],,135403803,"The document discusses the anti-atherosclerotic properties of Aronia melanocarpa extracts and their effects on various inflammatory markers and adhesion molecules in human umbilical vein endothelial cells (HUVECs). Specifically, it mentions the impact of these extracts on the expression of ICAM-1 and VCAM-1, which are crucial in the development of atherosclerosis. The extracts, rich in chlorogenic acids and anthocyanins, were shown to suppress the surface expression of TNF-α-stimulated ICAM-1 and VCAM-1 molecules. This indicates a downregulation effect of the extracts on these proteins. The context of the health-care scenario is the prevention and treatment of atherosclerosis, a major cardiovascular disease. The type of experiment conducted is 'In Vitro', as the study involved cell cultures of HUVECs treated with the extracts. Based on the rubric, the experimental weight assigned to this relation is 2.",Aronia melanocarpa extracts,ICAM-1,The extracts suppressed the surface expression of TNF-α-stimulated ICAM-1 molecules in human umbilical vein endothelial cells (HUVECs).,"['As inflammation and cell adhesion molecules located on endothelial cells cause leucocyte adhesion to the endothelium, we investigated the effects of A. melanocarpa fruit extracts on TNF-α induced ICAM-1 and VCAM-1 expression by human umbilical vein endothelial cells (HUVECs).', 'Flow cytometry results showed that all Aronia berry extracts collected from May to October from both farms inhibit TNF-α stimulated ICAM-1 and VCAM-1 molecules.', 'Extracts containing mainly chlorogenic acid, i.e., without anthocyanins (no 1.1 and 1.2), suppressed the surface expression of the TNF-α-stimulated ICAM-1 by 1.31-fold and 1.27-fold, respectively (Figure 2a, 1.1; 1.2) and inhibited surface expression of the TNF-α-stimulated VCAM-1 molecule by 1.6-fold and 2.4-fold, respectively (Figure 2b, 1.1; 1.2).']",Downregulation,Prevention and treatment of atherosclerosis,['In Vitro'],2
PMC10143525,"Novel 2-Amino-1,4-Naphthoquinone Derivatives Induce A549 Cell Death through Autophagy.","A series of 1,4-naphthoquinone derivatives containing were synthesized as anti-cancer agents and the crystal structure of compound",P00533,XA,"['Epidermal growth factor receptor', 'EGFR', 'Genes', 'epidermal growth factor receptor']",['XA'],[],[],"['Epidermal growth factor receptor', 'EGFR', 'Genes', 'epidermal growth factor receptor']",['XA'],,135403800,"The document discusses the effects of a novel 2-amino-1,4-naphthoquinone derivative, specifically compound 5i, on the EGFR protein in A549 cells. The study found that compound 5i induced autophagy by promoting the recycling of EGFR and signal transduction, resulting in the activation of the EGFR signal pathway. This indicates an upregulation of EGFR activity. The targeted sentences from the document that contain this relation are: 'Surprisingly, in the following preliminary biological experiments, we found that compound 5i induced autophagy by promoting the recycling of EGFR and signal transduction in the A549 cell, resulting in the activation of the EGFR signal pathway.' and 'Hence, combined with the above results, we preliminarily suspect that compound 5i will induce autophagy by promoting EGFR recycling and signal transduction in A549 cells to activate the EGFR signaling pathway.' The context of the health-care scenario is cancer treatment, specifically targeting non-small cell lung cancer (A549 cells). The type of experiment conducted in the study is 'In Vitro', as the experiments were performed on cell cultures. Based on the rubric, the experimental weight assigned to this relation is 2.","2-amino-1,4-naphthoquinone derivative (compound 5i)",EGFR,"Compound 5i induced autophagy by promoting the recycling of EGFR and signal transduction, resulting in the activation of the EGFR signal pathway.","['Surprisingly, in the following preliminary biological experiments, we found that compound 5i induced autophagy by promoting the recycling of EGFR and signal transduction in the A549 cell, resulting in the activation of the EGFR signal pathway.', 'Hence, combined with the above results, we preliminarily suspect that compound 5i will induce autophagy by promoting EGFR recycling and signal transduction in A549 cells to activate the EGFR signaling pathway.']",Upregulation,"Cancer treatment, specifically targeting non-small cell lung cancer (A549 cells)",['In Vitro'],2
PMC10210024,"Synthesis, In Silico Studies, and In Vitro Anti-Inflammatory Activity of Novel Imidazole Derivatives Targeting p38 MAP Kinase.",A series of eight novel,P28482,XA,"['p38', 'ERK', 'RK']",['XA'],['p38'],[],"['p38', 'ERK', 'RK']",['XA'],,135403800,"The document discusses the synthesis and evaluation of novel imidazole derivatives (AA1-AA8) targeting p38 MAP kinase. The primary focus is on the anti-inflammatory activity of these compounds, particularly their inhibitory effects on p38 MAP kinase. The study includes both in silico and in vitro experiments to assess the binding affinity and inhibitory activity of these compounds. Among the synthesized compounds, AA6 showed the most significant inhibitory activity against p38 MAP kinase, with an IC50 value of 403.57 ± 6.35 nM. This indicates a downregulation effect of AA6 on p38 MAP kinase activity. The context of the study is the development of anti-inflammatory drugs targeting p38 MAP kinase, which is implicated in various inflammatory diseases. The experiments conducted include molecular docking studies (in silico) and biochemical assays (in vitro). Based on the type of experiments, the experimental weight is assigned as 1 for in silico and 2 for in vitro studies.",AA6,p38 MAP kinase,"AA6 showed significant inhibitory activity against p38 MAP kinase, with an IC50 value of 403.57 ± 6.35 nM, indicating its potential as a p38 MAP kinase inhibitor.","['The compound AA6 possesses considerable p38 kinase inhibitory anti-inflammatory activity with an IC50 value of 403.57 ± 6.35 nM compared to the prototype drug adezmapimod (SB203580) with an IC50 value of 222.44 ± 5.98 nM.', 'It has been observed that the compound contains dimethyl substitution at the second and fourth positions as AA6 (IC50 value of 403.57 ± 6.35 nM) exhibits considerable activity compared to the prototype drug adezmapimod (IC50 value 222.44 ± 5.98 nM), which infers that AA6 can contribute toward p38 MAP kinase activity.']",Downregulation,"Development of anti-inflammatory drugs targeting p38 MAP kinase, which is implicated in various inflammatory diseases.","['In Silico', 'In Vitro']",2
PMC10456557,Effects of Pera Orange Juice and Moro Orange Juice in Healthy Rats: A Metabolomic Approach.,"Cardiovascular disease is a leading cause of death worldwide. Heart failure is a cardiovascular disease with high prevalence, morbidity, and mortality. Several natural compounds have been studied for attenuating pathological cardiac remodeling. Orange juice has been associated with cardiovascular disease prevention by attenuating oxidative stress. However, most studies have evaluated isolated phytochemicals rather than whole orange juice and usually under pathological conditions. In this study, we evaluated plasma metabolomics in healthy rats receiving Pera or Moro orange juice to identify possible metabolic pathways and their effects on the heart.",P16035,PCA,['TIMP-2'],['PCA'],[],[],['TIMP-2'],['PCA'],,135403803,"The document discusses the effects of Pera and Moro orange juice on various plasma metabolites and their potential roles in cardiac remodeling. Among the proteins studied, TIMP-2 (Tissue Inhibitor of Metalloproteinases 2) was evaluated for its expression levels. The study found that the ingestion of Pera and Moro orange juice did not significantly alter the expression of TIMP-2 in healthy rats. This indicates a neutral interaction between the orange juices and TIMP-2 protein expression. The context of the study is related to cardiovascular health, specifically focusing on cardiac remodeling and heart failure prevention. The experiment was conducted in vivo using healthy rats, which provides a moderate level of evidence for the findings.",Pera Orange Juice,TIMP-2,The ingestion of Pera orange juice did not significantly alter the expression of TIMP-2 protein in healthy rats.,"['Protein expression of type I collagen, TIMP-2, TNF-α, MMP-9, and TIMP-4 did not differ between groups.']",Neutral,"Cardiovascular health, specifically focusing on cardiac remodeling and heart failure prevention.",['In Vivo'],3
PMC10505742,Untargeted plasma metabolome identifies biomarkers in patients with extracranial arteriovenous malformations.,,P00533,XA,['Genes'],['XA'],[],[],['Genes'],['XA'],,135403800,"The document discusses the metabolic profiling of patients with extracranial arteriovenous malformations (AVMs) using untargeted plasma metabolomics. The study identifies various metabolites and their altered pathways in AVM patients compared to healthy controls. Among the metabolites identified, caffeine (a methylxanthine) is highlighted for its potential role in AVM treatment due to its various physiological effects, including pain relief, reduction of collagen and fibrin production, and reduction of oxidative stress. The document does not explicitly mention the interaction between caffeine and the epidermal growth factor receptor (EGFR). However, based on the known pharmacological effects of caffeine and its potential role in AVM treatment, it can be inferred that caffeine may have an effect on EGFR, a protein involved in cell growth and proliferation. Given the context of AVM, a condition characterized by abnormal vascular development, it is plausible that caffeine could influence EGFR activity. The targeted sentences from the document that discuss caffeine's potential role in AVM treatment are: 'The positive ion mode showed an enrichment of the caffeine metabolism pathway. Caffeine, a methylxanthine (1,3,7-trimethylxanthine), shares a similar molecular structure to adenosine and can bind to adenosine receptors, blocking the effects of adenosine and reducing fatigue and improving responsiveness (Fredholm et al., 1999). Moreover, caffeine may has been observed to protect against liver fibrosis by antagonizing adenosine receptor activation, which can promote tissue remodeling, including collagen production and fibrin generation. It may also protect against liver steatosis and fibrosis by improving fat homeostasis and reducing oxidative stress (Klemmer et al., 2011).' Based on this information, the interaction between caffeine and EGFR is classified as 'Neutral' because the document does not provide direct evidence of upregulation or downregulation of EGFR by caffeine. The context of the health-care scenario is the treatment of extracranial arteriovenous malformations (AVMs). The type of experiment conducted in the study is 'In Clinical' as it involves human participants. The experimental weight assigned to the extracted relation is 5.",Caffeine,Epidermal Growth Factor Receptor (EGFR),"The document does not provide direct evidence of caffeine's effect on EGFR. However, caffeine is discussed for its potential role in AVM treatment due to its various physiological effects, including pain relief, reduction of collagen and fibrin production, and reduction of oxidative stress.","['The positive ion mode showed an enrichment of the caffeine metabolism pathway. Caffeine, a methylxanthine (1,3,7-trimethylxanthine), shares a similar molecular structure to adenosine and can bind to adenosine receptors, blocking the effects of adenosine and reducing fatigue and improving responsiveness (Fredholm et al., 1999). Moreover, caffeine may has been observed to protect against liver fibrosis by antagonizing adenosine receptor activation, which can promote tissue remodeling, including collagen production and fibrin generation. It may also protect against liver steatosis and fibrosis by improving fat homeostasis and reducing oxidative stress (Klemmer et al., 2011).']",Neutral,Treatment of extracranial arteriovenous malformations (AVMs),['In Clinical'],5
PMC10530627,Synergistic interactions of cytarabine-adavosertib in leukemic cell lines proliferation and metabolomic endpoints.,"Drug synergy allows reduced dosing, side effects and tolerance. Optimization of drug synergy chemotherapy is fundamental in acute lymphocytic leukemia and other cancers. This study aimed to analyze the pharmacodynamic synergy between the anti-metabolite cytarabine and WEE1 inhibitor adavosertib on acute leukemia cell lines CCRF-CEM and Jurkat. In both cell lines analysis of concentration-inhibition curves of adavosertib-cytarabine combinations and synergy matrixes supported mutually synergistic drug interactions. Overall mean ( ± SD) synergy scores were higher in Jurkat than CCRF-CEM: Jurkat, ZIP 22.51 ± 1.1, Bliss 22.49 ± 1.1, HSA 23.44 ± 1.0, Loewe 14.16 ± 1.2; and, CCRF-CEM, ZIP 9.17 ± 1.9, Bliss 8.13 ± 2.1, HSA 11.48 ± 1.9 and Loewe 4.99 ± 1.8. Jurkat also surpassed CCRF-CEM in high-degree synergistic adavosertib-cytarabine interactions with mean across-models synergy values of ∼89.1% ± 2.9 for 63 nM cytarabine-97 nM adavosertib (91.4% inhibition synergy barometer). Combination sensitivity scores scatter plots confirmed combination's synergy efficacy. This combined approach permitted identification and prioritization of 63 nM cytarabine-97 nM adavosertib for multiple endpoints analysis. This combination did not affect PBMC viability, while exhibiting Jurkat selective synergy. Immunoblots also revealed Jurkat selective synergistically increased γH2AX phosphorylation, while CDC2 phosphorylation effects were attributed to adavosertib's WEE1 inhibition. In conclusion, the high synergistic efficacy combination of cytarabine (63 nM) and adavosertib (97 nM) was associated with remarkable alterations in metabolites related to the Krebs cycle in Jurkat. The metabolic pathways and processes are related to gluconeogenesis, amino acids, nucleotides, glutathione, electron transport and Warburg effect. All above relate to cell survival, apoptosis, and cancer progression. Our findings could pave the way for novel biomarkers in treatment, diagnosis, and prognosis of leukemia and other cancers.",P30291,PCA,['WEE1'],['PCA'],[],[],['WEE1'],['PCA'],,135403803,"The document discusses the synergistic interactions between cytarabine and adavosertib in leukemic cell lines, specifically focusing on their effects on cell proliferation and metabolomic endpoints. The key protein of interest in this context is WEE1, a kinase involved in the G2-M checkpoint of the cell cycle. The document provides evidence that adavosertib, a WEE1 inhibitor, decreases the phosphorylation of CDC2, a downstream target of WEE1, thereby inhibiting the G2-M checkpoint and promoting cell cycle progression. This inhibition leads to increased DNA damage and apoptosis in leukemic cells when combined with cytarabine. The targeted sentences from the document that contain the extracted relation are: 'Immunoblots also revealed Jurkat selective synergistically increased γH2AX phosphorylation, while CDC2 phosphorylation effects were attributed to adavosertib’s WEE1 inhibition.' and 'In turn, adavosertib, consistent with its WEE1 kinase inhibition, significantly decreased CDC2 phosphorylation when combined with cytarabine.' The interaction type is classified as 'Downregulation' because adavosertib inhibits the activity of WEE1. The context of the health-care scenario is the treatment of acute lymphoblastic leukemia (ALL) using a combination of cytarabine and adavosertib. The type of experiment conducted in the study is 'In Vitro', as the experiments were performed on leukemic cell lines. The experimental weight assigned to this relation is 2.",Adavosertib,WEE1,"Adavosertib inhibits the activity of WEE1, leading to decreased phosphorylation of CDC2 and increased DNA damage and apoptosis in leukemic cells when combined with cytarabine.","['Immunoblots also revealed Jurkat selective synergistically increased γH2AX phosphorylation, while CDC2 phosphorylation effects were attributed to adavosertib’s WEE1 inhibition.', 'In turn, adavosertib, consistent with its WEE1 kinase inhibition, significantly decreased CDC2 phosphorylation when combined with cytarabine.']",Downregulation,Treatment of acute lymphoblastic leukemia (ALL) using a combination of cytarabine and adavosertib.,['In Vitro'],2
PMC10638910,,Combination of,P05231,XA,"['VEGF', 'bFGF', 'HGF', 'VPF', 'BFGF']",['XA'],['VEGF'],[],"['VEGF', 'bFGF', 'HGF', 'VPF', 'BFGF']",['XA'],,135403800,"The document discusses the effects of the combination of Panax quinquefolium L. and Salvia miltiorrhiza Bunge (PS) on angiogenesis in a rat model of acute myocardial infarction (AMI). The study specifically investigates the miR-155-5p/HIF-1α/VEGF signaling pathway. The targeted sentences indicate that PS enhances angiogenesis by regulating this pathway. The protein of interest here is HIF-1α, which is a key player in the hypoxia response and angiogenesis. The drug combination (PS) was found to inhibit the activation of the miR-155-5p/HIF-1α/VEGF pathway, thereby promoting angiogenesis. This suggests a downregulation of HIF-1α by PS. The context is the treatment of acute myocardial infarction, and the type of experiment conducted is 'In Vivo' as it involves a rat model. Based on the rubric, the experimental weight assigned is 3.",Panax quinquefolium L. and Salvia miltiorrhiza Bunge,HIF-1α,"PS inhibits the activation of the miR-155-5p/HIF-1α/VEGF pathway, thereby promoting angiogenesis.","['Mechanistically, PS enhanced the expression of HGF and bFGF in serum, increased the levels of MVD and CD31 in myocardial tissues, and inhibited the activation of the miR-155-5p/HIF-1α/VEGF pathway, which ultimately promoted angiogenesis.', 'PS inhibited the mRNA and protein expression levels of HIF-1α and enhanced the levels of VEGF.']",Downregulation,Treatment of acute myocardial infarction,['In Vivo'],3
PMC10662458,Mutant p53 murine oviductal epithelial cells induce progression of high-grade serous carcinoma and are most sensitive to simvastatin therapy in vitro and in vivo.,"High-grade serous carcinoma (HGSC) is the most common and aggressive subtype of epithelial ovarian cancer, characterized by gain-of-function TP53 mutations originating in the fallopian tube epithelium. Therapeutic intervention occurs at advanced metastatic disease, due to challenges in early-stage diagnosis, with common disease recurrence and therapy resistance despite initial therapy success. The mevalonate pathway is exploited by many cancers and is potently inhibited by statin drugs. Statins have shown anti-cancer activity in many, but not all cancers. Here, we investigated the role of p53 status in relation to mevalonate pathway signaling in murine oviductal epithelial (OVE) cells and identified OVE cell sensitivity to statin inhibition. We found that p53",P04637,PCA,"['TP53', 'P53', 'p53', 'TRP53', 'Genes']",['PCA'],['p53'],[],"['TP53', 'P53', 'p53', 'TRP53', 'Genes']",['PCA'],,135403803,"The document discusses the effects of simvastatin on p53 mutant murine oviductal epithelial (OVE) cells in the context of high-grade serous carcinoma (HGSC). The study investigates the role of p53 status in relation to mevalonate pathway signaling and the sensitivity of OVE cells to statin inhibition. The key findings indicate that simvastatin treatment abrogates the upregulation of the mevalonate pathway driven by p53 R175H mutant cells, leading to decreased cell proliferation, increased apoptosis, and reduced tumor size in vivo. The targeted sentences provide direct evidence of these effects, and the interaction type is classified as 'Downregulation' because simvastatin inhibits the mevalonate pathway and its downstream effects. The context is ovarian cancer, specifically HGSC, and the experiments conducted are both 'In Vitro' and 'In Vivo', with respective experimental weights of 2 and 3.",Simvastatin,p53 (R175H mutant),"Simvastatin treatment abrogates the upregulation of the mevalonate pathway driven by p53 R175H mutant cells, leading to decreased cell proliferation, increased apoptosis, and reduced tumor size.","['Through orthotopic implantation to replicate the fallopian tube origin of HGSC, p53 R175H mutant cells upregulated the mevalonate pathway to drive progression to advanced-stage ovarian cancer, and simvastatin treatment abrogated this effect.', 'In vitro, simvastatin demonstrated potent effects on cell proliferation, apoptosis, invasion and migration in OVE cells regardless of p53 status.', 'In vivo, simvastatin induced ovarian cancer disease regression through decreased primary ovarian tumor weight and increased apoptosis.']",Downregulation,"Ovarian cancer, specifically high-grade serous carcinoma (HGSC)","['In Vitro', 'In Vivo']",3
PMC10669250,A Network Pharmacology and Molecular-Docking-Based Approach to Identify the Probable Targets of Short-Chain Fatty-Acid-Producing Microbial Metabolites against Kidney Cancer and Inflammation.,"(1) Background: A large and diverse microbial population exists in the human intestinal tract, which supports gut homeostasis and the health of the host. Short-chain fatty acid (SCFA)-secreting microbes also generate several metabolites with favorable regulatory effects on various malignancies and immunological inflammations. The involvement of intestinal SCFAs in kidney diseases, such as various kidney malignancies and inflammations, has emerged as a fascinating area of study in recent years. However, the mechanisms of SCFAs and other metabolites produced by SCFA-producing bacteria against kidney cancer and inflammation have not yet been investigated. (2) Methods: We considered 177 different SCFA-producing microbial species and 114 metabolites from the gutMgene database. Further, we used different online-based database platforms to predict 1890 gene targets associated with metabolites. Moreover, DisGeNET, OMIM, and Genecard databases were used to consider 13,104 disease-related gene targets. We used a Venn diagram and various protein-protein interactions (PPIs), KEGG pathways, and GO analyses for the functional analysis of gene targets. Moreover, the subnetwork of protein-protein interactions (through string and cytoscape platforms) was used to select the top 20% of gene targets through degree centrality, betweenness centrality, and closeness centrality. To screen the possible candidate compounds, we performed an analysis of the ADMET (absorption, distribution, metabolism, excretion, and toxicity) properties of metabolites and then found the best binding affinity using molecular docking simulation. (3) Results: Finally, we found the key gene targets that interact with suitable compounds and function against kidney cancer and inflammation, such as MTOR (with glycocholic acid), PIK3CA (with 11-methoxycurvularin, glycocholic acid, and isoquercitrin), IL6 (with isoquercitrin), PTGS2 (with isoquercitrin), and IGF1R (with 2-amino-1-methyl-6-phenylimidazo[4,5-b] pyridine, isoquercitrin), showed a lower binding affinity. (4) Conclusions: This study provides evidence to support the positive effects of SCFA-producing microbial metabolites that function against kidney cancer and inflammation and makes integrative research proposals that may be used to guide future studies.",P05231,XA,"['IL-6', 'IL6']",['XA'],[],[],"['IL-6', 'IL6']",['XA'],,135403800,"The document discusses the effects of various short-chain fatty acid (SCFA)-producing microbial metabolites on kidney cancer and inflammation. Among the metabolites, isoquercitrin is highlighted for its interaction with the IL6 protein. The document states that isoquercitrin dramatically reduces the mRNA expression of proinflammatory factors such as IL-6. This indicates a downregulation effect of isoquercitrin on IL6. The context of the health-care scenario is the treatment of kidney cancer and inflammation. The type of experiment conducted includes molecular docking simulations and network pharmacology analysis, which are categorized as 'In Silico' studies. Based on this, the experimental weight assigned is 1.",Isoquercitrin,IL6,Isoquercitrin dramatically reduces the mRNA expression of proinflammatory factors such as IL-6.,"['Further, isoquercitrin dramatically reduces the mRNA expression of proinflammatory factors such as tumor necrosis factor-, interleukin (IL)-1, IL-6, monocyte chemoattractant protein-1, and prostaglandin E synthase 2 (PTGES2).']",Downregulation,Treatment of kidney cancer and inflammation,['In Silico'],1
PMC10695158,Effects of N-butanol extract of Amygdalus mongolica on rats with bleomycin-induced pulmonary fibrosis based on metabolomics.,"Pulmonary fibrosis (PF) is a major public health issue with limited treatment options. As the active ingredient of the n-butanol extract of Amygdalus mongolica (BUT), amygdalin inhibits PF. However, its mechanisms of action are unclear and need further verification. Therefore, the purpose of the present studies was to investigate the anti-fibrotic effects of BUT on PF by serum metabolomics and the transforming growth factor β (TGF-β) pathway. Sixty male Sprague-Dawley rats were randomly divided into control, untreated PF, prednisone-treated (5 mg/kg), and BUT-treated (1.75, 1.25, 0.75 g/kg) groups, and the respective drugs were administered intragastrically for 21 days. The serum metabolomics profiles were determined by ultra-performance liquid chromatography quadrupole time-of-flight mass spectrometry (UPLC-QTOF/MS) and metabolism network analysis. The expression of TGF-β1, Smad-3, Smad-7, and α-smooth muscle actin (α-SMA) was measured using a real-time polymerase chain reaction in the lung tissue. BUT significantly alleviated fibrosis by reducing the mRNA expressions of TGF-β1 (from 1.73 to 1.13), Smad-3 (from 2.01 to 1.19), and α-SMA (from 2.14 to 1.19) and increasing that of Smad7 (from 0.17 to 0.62). Twenty-eight potential biomarkers associated with PF were identified. In addition, four key biomarkers were restored to baseline levels following BUT treatment, with the lowest dose showing optimal effect. Furthermore, A. mongolica BUT was found to improve PF by the pentose phosphate pathway and by taurine, hypotaurine, and arachidonic acid metabolism. These findings revealed the mechanism of A. mongolica BUT antifibrotic effects and metabolic activity in PF rats and provided the experimental basis for its clinical application.",P84022,PCA,"['Smad3', 'SMAD3']",['PCA'],[],[],"['Smad3', 'SMAD3']",['PCA'],,135403803,"The document discusses the effects of the N-butanol extract of Amygdalus mongolica (BUT) on rats with bleomycin-induced pulmonary fibrosis (PF). The study investigates the anti-fibrotic effects of BUT by examining the transforming growth factor β (TGF-β) pathway. Specifically, the expression of TGF-β1, Smad-3, Smad-7, and α-smooth muscle actin (α-SMA) was measured using real-time polymerase chain reaction (qRT-PCR) in lung tissue. The results showed that BUT significantly reduced the mRNA expressions of TGF-β1, Smad-3, and α-SMA while increasing the expression of Smad-7. This indicates that BUT has a downregulating effect on Smad-3, which is a key protein in the TGF-β signaling pathway involved in fibrosis. The targeted sentences from the document that contain the extracted relation are: 'The expression of TGF-β1, Smad-3, Smad-7, and α-smooth muscle actin (α-SMA) was measured using a real-time polymerase chain reaction in the lung tissue.' and 'BUT significantly alleviated fibrosis by reducing the mRNA expressions of TGF-β1 (from 1.73 to 1.13), Smad-3 (from 2.01 to 1.19), and α-SMA (from 2.14 to 1.19) and increasing that of Smad7 (from 0.17 to 0.62).' The context of the health-care scenario is pulmonary fibrosis, a chronic lung disease. The type of experiment conducted in the study is 'In Vivo' as it involves animal models (rats). Based on the type of experiment, the experimental weight assigned to the extracted relation is 3.",N-butanol extract of Amygdalus mongolica,Smad-3,"BUT significantly reduced the mRNA expression of Smad-3, indicating a downregulating effect on this protein.","['The expression of TGF-β1, Smad-3, Smad-7, and α-smooth muscle actin (α-SMA) was measured using a real-time polymerase chain reaction in the lung tissue.', 'BUT significantly alleviated fibrosis by reducing the mRNA expressions of TGF-β1 (from 1.73 to 1.13), Smad-3 (from 2.01 to 1.19), and α-SMA (from 2.14 to 1.19) and increasing that of Smad7 (from 0.17 to 0.62).']",Downregulation,"Pulmonary fibrosis, a chronic lung disease.",['In Vivo'],3
