PMC,PMCtitle,PMCabstract,Query_Protein,Query_Drug,ProteinNames,DrugNames,FuzzyMatchProtein,FuzzyMatchDrug,ExactMatchProtein,ExactMatchDrug,DrugMatch,CID,chain_of_thought_reasoning,drug,protein,effect,targeted_sentences,interaction_type,context
PMC10505742,Untargeted plasma metabolome identifies biomarkers in patients with extracranial arteriovenous malformations.,,P00533,XA,['Genes'],['XA'],[],[],['Genes'],['XA'],,135403800,"The document discusses the metabolic profiling of patients with extracranial arteriovenous malformations (AVMs) and identifies various metabolites and their pathways. The drug Xanthopterin and the protein EGFR (epidermal growth factor receptor) were detected in the document. To extract the relation, I searched for sentences mentioning both the drug and the protein. The document mentions that caffeine, a methylxanthine, shares a similar molecular structure to adenosine and can bind to adenosine receptors, blocking the effects of adenosine. This suggests that Xanthopterin, being a similar compound, might have a similar effect on EGFR. However, the document does not provide direct evidence of Xanthopterin's effect on EGFR. Therefore, based on the available information, I classify the interaction as 'Neutral'. The context of the health-care scenario is the study of metabolic profiles in patients with AVMs.",Xanthopterin,EGFR,"The document does not provide direct evidence of Xanthopterin's effect on EGFR. Based on the available information, the interaction is classified as 'Neutral'.","['The positive ion mode showed an enrichment of the caffeine metabolism pathway. Caffeine, a methylxanthine (1,3,7-trimethylxanthine), shares a similar molecular structure to adenosine and can bind to adenosine receptors, blocking the effects of adenosine.']",Neutral,Study of metabolic profiles in patients with extracranial arteriovenous malformations (AVMs).
PMC10530627,Synergistic interactions of cytarabine-adavosertib in leukemic cell lines proliferation and metabolomic endpoints.,"Drug synergy allows reduced dosing, side effects and tolerance. Optimization of drug synergy chemotherapy is fundamental in acute lymphocytic leukemia and other cancers. This study aimed to analyze the pharmacodynamic synergy between the anti-metabolite cytarabine and WEE1 inhibitor adavosertib on acute leukemia cell lines CCRF-CEM and Jurkat. In both cell lines analysis of concentration-inhibition curves of adavosertib-cytarabine combinations and synergy matrixes supported mutually synergistic drug interactions. Overall mean ( ± SD) synergy scores were higher in Jurkat than CCRF-CEM: Jurkat, ZIP 22.51 ± 1.1, Bliss 22.49 ± 1.1, HSA 23.44 ± 1.0, Loewe 14.16 ± 1.2; and, CCRF-CEM, ZIP 9.17 ± 1.9, Bliss 8.13 ± 2.1, HSA 11.48 ± 1.9 and Loewe 4.99 ± 1.8. Jurkat also surpassed CCRF-CEM in high-degree synergistic adavosertib-cytarabine interactions with mean across-models synergy values of ∼89.1% ± 2.9 for 63 nM cytarabine-97 nM adavosertib (91.4% inhibition synergy barometer). Combination sensitivity scores scatter plots confirmed combination's synergy efficacy. This combined approach permitted identification and prioritization of 63 nM cytarabine-97 nM adavosertib for multiple endpoints analysis. This combination did not affect PBMC viability, while exhibiting Jurkat selective synergy. Immunoblots also revealed Jurkat selective synergistically increased γH2AX phosphorylation, while CDC2 phosphorylation effects were attributed to adavosertib's WEE1 inhibition. In conclusion, the high synergistic efficacy combination of cytarabine (63 nM) and adavosertib (97 nM) was associated with remarkable alterations in metabolites related to the Krebs cycle in Jurkat. The metabolic pathways and processes are related to gluconeogenesis, amino acids, nucleotides, glutathione, electron transport and Warburg effect. All above relate to cell survival, apoptosis, and cancer progression. Our findings could pave the way for novel biomarkers in treatment, diagnosis, and prognosis of leukemia and other cancers.",P30291,PCA,['WEE1'],['PCA'],[],[],['WEE1'],['PCA'],,135403803,"The document discusses the synergistic interactions between cytarabine and adavosertib in leukemic cell lines, specifically focusing on their effects on cell proliferation, cell cycle, and metabolomic endpoints. The protein of interest, WEE1, is a G2 checkpoint kinase that is targeted by adavosertib. The document provides evidence that adavosertib inhibits WEE1, leading to decreased phosphorylation of CDC2, which is consistent with WEE1 inhibition. This inhibition abrogates the extended pause in the G2-M phase, catapulting cancer cells into mitotic catastrophe and apoptosis. The targeted sentences clearly describe the effect of adavosertib on WEE1 and its downstream effects on CDC2 phosphorylation.",Adavosertib,WEE1,"Adavosertib inhibits WEE1, leading to decreased phosphorylation of CDC2, which abrogates the extended pause in the G2-M phase, catapulting cancer cells into mitotic catastrophe and apoptosis.","['Immunoblots also revealed Jurkat selective synergistically increased γH2AX phosphorylation, while CDC2 phosphorylation effects were attributed to adavosertib’s WEE1 inhibition.', 'Inhibition of Wee1 abrogates the extended pause in the G2-M catapulting cancer cells into a mitotic catastrophe and apoptosis.', 'The drug combination decreased pCDC2 is attributed and expected due to the inhibition of WEE1 kinase by adavosertib.']",Downregulation,"The study focuses on the treatment of acute lymphoblastic leukemia (ALL) using a combination of cytarabine and adavosertib. The context involves analyzing the pharmacodynamic synergy between these drugs in leukemic cell lines, specifically Jurkat and CCRF-CEM, to improve therapeutic efficacy and reduce side effects."
PMC10638910,,Combination of,P05231,XA,"['VEGF', 'bFGF', 'HGF', 'VPF', 'BFGF']",['XA'],['VEGF'],[],"['VEGF', 'bFGF', 'HGF', 'VPF', 'BFGF']",['XA'],,135403800,"The document discusses the effects of the combination of Panax quinquefolium L. and Salvia miltiorrhiza Bunge (PS) on angiogenesis in rats after acute myocardial infarction (AMI). The study specifically investigates the miR-155-5p/HIF-1α/VEGF signaling pathway. It was found that PS enhances angiogenesis by inhibiting the miR-155-5p/HIF-1α/VEGF pathway. This indicates that PS has a regulatory effect on the protein HIF-1α, which is a key player in the pathway. The targeted sentences from the document clearly state that PS inhibits the activation of the miR-155-5p/HIF-1α/VEGF pathway, leading to increased angiogenesis. Therefore, the interaction type between PS and HIF-1α is classified as 'Downregulation'. The context of the health-care scenario is the treatment of acute myocardial infarction (AMI) in rats.",Panax quinquefolium L. and Salvia miltiorrhiza Bunge,HIF-1α,"PS inhibits the activation of the miR-155-5p/HIF-1α/VEGF pathway, leading to increased angiogenesis.","['Mechanistically, PS enhanced the expression of HGF and bFGF in serum, increased the levels of MVD and CD31 in myocardial tissues, and inhibited the activation of the miR-155-5p/HIF-1α/VEGF pathway, which ultimately promoted angiogenesis.', 'PS inhibited the miR-155-5p/HIF-1α/VEGF signaling pathway in AMI rats.']",Downregulation,treatment of acute myocardial infarction (AMI) in rats
PMC10662458,Mutant p53 murine oviductal epithelial cells induce progression of high-grade serous carcinoma and are most sensitive to simvastatin therapy in vitro and in vivo.,"High-grade serous carcinoma (HGSC) is the most common and aggressive subtype of epithelial ovarian cancer, characterized by gain-of-function TP53 mutations originating in the fallopian tube epithelium. Therapeutic intervention occurs at advanced metastatic disease, due to challenges in early-stage diagnosis, with common disease recurrence and therapy resistance despite initial therapy success. The mevalonate pathway is exploited by many cancers and is potently inhibited by statin drugs. Statins have shown anti-cancer activity in many, but not all cancers. Here, we investigated the role of p53 status in relation to mevalonate pathway signaling in murine oviductal epithelial (OVE) cells and identified OVE cell sensitivity to statin inhibition. We found that p53",P04637,PCA,"['TP53', 'P53', 'p53', 'TRP53', 'Genes']",['PCA'],['p53'],[],"['TP53', 'P53', 'p53', 'TRP53', 'Genes']",['PCA'],,135403803,"The document discusses the effects of simvastatin on various cell lines, including those with different p53 statuses. The key focus is on the mevalonate pathway and its regulation by p53. The document provides evidence that simvastatin treatment affects the mevalonate pathway and downstream signaling, including the expression of p53. Specifically, simvastatin treatment leads to increased apoptosis and decreased tumor size in vivo, which is associated with changes in p53 expression. The targeted sentences clearly indicate that simvastatin has a downregulating effect on p53, particularly in the context of ovarian cancer treatment.",Simvastatin,p53,"Simvastatin treatment leads to increased apoptosis and decreased tumor size in vivo, which is associated with changes in p53 expression.","['In vivo, simvastatin induced ovarian cancer disease regression through decreased primary ovarian tumor weight and increased apoptosis.', 'Simvastatin also significantly increased cytoplasmic localization of HMG-CoA reductase in ovarian tumors.', 'This study suggests that simvastatin can induce anti-tumor effects and could be an important inhibitor of ovarian cancer progression.']",Downregulation,Ovarian cancer treatment
PMC10669250,A Network Pharmacology and Molecular-Docking-Based Approach to Identify the Probable Targets of Short-Chain Fatty-Acid-Producing Microbial Metabolites against Kidney Cancer and Inflammation.,"(1) Background: A large and diverse microbial population exists in the human intestinal tract, which supports gut homeostasis and the health of the host. Short-chain fatty acid (SCFA)-secreting microbes also generate several metabolites with favorable regulatory effects on various malignancies and immunological inflammations. The involvement of intestinal SCFAs in kidney diseases, such as various kidney malignancies and inflammations, has emerged as a fascinating area of study in recent years. However, the mechanisms of SCFAs and other metabolites produced by SCFA-producing bacteria against kidney cancer and inflammation have not yet been investigated. (2) Methods: We considered 177 different SCFA-producing microbial species and 114 metabolites from the gutMgene database. Further, we used different online-based database platforms to predict 1890 gene targets associated with metabolites. Moreover, DisGeNET, OMIM, and Genecard databases were used to consider 13,104 disease-related gene targets. We used a Venn diagram and various protein-protein interactions (PPIs), KEGG pathways, and GO analyses for the functional analysis of gene targets. Moreover, the subnetwork of protein-protein interactions (through string and cytoscape platforms) was used to select the top 20% of gene targets through degree centrality, betweenness centrality, and closeness centrality. To screen the possible candidate compounds, we performed an analysis of the ADMET (absorption, distribution, metabolism, excretion, and toxicity) properties of metabolites and then found the best binding affinity using molecular docking simulation. (3) Results: Finally, we found the key gene targets that interact with suitable compounds and function against kidney cancer and inflammation, such as MTOR (with glycocholic acid), PIK3CA (with 11-methoxycurvularin, glycocholic acid, and isoquercitrin), IL6 (with isoquercitrin), PTGS2 (with isoquercitrin), and IGF1R (with 2-amino-1-methyl-6-phenylimidazo[4,5-b] pyridine, isoquercitrin), showed a lower binding affinity. (4) Conclusions: This study provides evidence to support the positive effects of SCFA-producing microbial metabolites that function against kidney cancer and inflammation and makes integrative research proposals that may be used to guide future studies.",P05231,XA,"['IL-6', 'IL6']",['XA'],[],[],"['IL-6', 'IL6']",['XA'],,135403800,"The document discusses the effects of various short-chain fatty acid (SCFA)-producing microbial metabolites on kidney cancer and inflammation. Among the metabolites, isoquercitrin is highlighted for its regulatory effects on several proteins, including IL6 (Interleukin-6). The document specifies that isoquercitrin dramatically reduces the mRNA expression of proinflammatory factors such as IL-6. This indicates a downregulation effect of isoquercitrin on IL-6. The context of this relation is within the study of kidney cancer and inflammation, where the goal is to find potential therapeutic targets and treatments using SCFA-producing microbial metabolites.",Isoquercitrin,IL6,"Isoquercitrin dramatically reduces the mRNA expression of IL-6, indicating a downregulation effect.","['Further, isoquercitrin dramatically reduces the mRNA expression of proinflammatory factors such as tumor necrosis factor-, interleukin (IL)-1, IL-6, monocyte chemoattractant protein-1, and prostaglandin E synthase 2 (PTGES2).']",Downregulation,"The context of this relation is within the study of kidney cancer and inflammation, where the goal is to find potential therapeutic targets and treatments using SCFA-producing microbial metabolites."
PMC10143525,"Novel 2-Amino-1,4-Naphthoquinone Derivatives Induce A549 Cell Death through Autophagy.","A series of 1,4-naphthoquinone derivatives containing were synthesized as anti-cancer agents and the crystal structure of compound",P00533,XA,"['Epidermal growth factor receptor', 'EGFR', 'Genes', 'epidermal growth factor receptor']",['XA'],[],[],"['Epidermal growth factor receptor', 'EGFR', 'Genes', 'epidermal growth factor receptor']",['XA'],,135403800,"The document discusses the effects of a novel 2-amino-1,4-naphthoquinone derivative, specifically compound 5i, on the EGFR protein in A549 cells. The study found that compound 5i induces autophagy by promoting the recycling of EGFR and signal transduction, leading to the activation of the EGFR signaling pathway. This is evidenced by the      gulation of phosphorylated EGFR (p-EGFR) and Akt (p-Akt) proteins, while the total EGFR protein expression is downregulated. The context of this interaction is within the scope of cancer treatment, specifically targeting non-small cell lung cancer (A549 cells).","2-amino-1,4-naphthoquinone derivative (compound 5i)",EGFR,"Compound 5i induces autophagy by promoting the recycling of EGFR and signal transduction, leading to the activation of the EGFR signaling pathway. This is evidenced by the upregulation of phosphorylated EGFR (p-EGFR) and Akt (p-Akt) proteins, while the total EGFR protein expression is downregulated.","['Surprisingly, in the following preliminary biological experiments, we found that compound 5i induced autophagy by promoting the recycling of EGFR and signal transduction in the A549 cell, resulting in the activation of the EGFR signal pathway.', 'Interestingly, EGFR protein expression was down-regulated remarkably after treatment with 5i (10 μM), which lower three times lower than the control group.', 'Compound 5i significantly up-regulated the expressions of p-Akt, which were translated by tumor suppress genes, and the levels of p-EGFR and Akt remained unchanged regardless of treatment with 5i or gefitinib at 10 μM.']",Upregulation,"Cancer treatment, specifically targeting non-small cell lung cancer (A549 cells)."
PMC10210024,"Synthesis, In Silico Studies, and In Vitro Anti-Inflammatory Activity of Novel Imidazole Derivatives Targeting p38 MAP Kinase.",A series of eight novel,P28482,XA,"['p38', 'ERK', 'RK']",['XA'],['p38'],[],"['p38', 'ERK', 'RK']",['XA'],,135403800,"The document discusses the synthesis and evaluation of novel imidazole derivatives (AA1-AA8) targeting p38 MAP kinase for their anti-inflammatory activity. The primary focus is on the inhibitory effects of these compounds on p38 MAP kinase, a protein involved in inflammation. The document provides detailed experimental results, including IC50 values, docking scores, and ADME properties, which indicate the effectiveness of these compounds in inhibiting p38 MAP kinase. Specifically, compound AA6 is highlighted as having significant p38 MAP kinase inhibitory activity with an IC50 value of 403.57 ± 6.35 nM. This information is extracted from the sections discussing the in vitro anti-inflammatory activity and p38 MAP kinase inhibitory activity of the synthesized compounds.",AA6,p38 MAP kinase,AA6 possesses considerable p38 kinase inhibitory anti-inflammatory activity with an IC50 value of 403.57 ± 6.35 nM.,['The compound AA6 possesses considerable p38 kinase inhibitory anti-inflammatory activity with an IC50 value of 403.57 ± 6.35 nM compared to the prototype drug adezmapimod (SB203580) with an IC50 value of 222.44 ± 5.98 nM.'],Downregulation,"The study focuses on developing novel anti-inflammatory drugs targeting p38 MAP kinase, which is involved in various inflammatory diseases such as rheumatoid arthritis, inflammatory bowel disease, cardiovascular events, neurodegenerative conditions, cancer, and COVID-19."
PMC10456557,Effects of Pera Orange Juice and Moro Orange Juice in Healthy Rats: A Metabolomic Approach.,"Cardiovascular disease is a leading cause of death worldwide. Heart failure is a cardiovascular disease with high prevalence, morbidity, and mortality. Several natural compounds have been studied for attenuating pathological cardiac remodeling. Orange juice has been associated with cardiovascular disease prevention by attenuating oxidative stress. However, most studies have evaluated isolated phytochemicals rather than whole orange juice and usually under pathological conditions. In this study, we evaluated plasma metabolomics in healthy rats receiving Pera or Moro orange juice to identify possible metabolic pathways and their effects on the heart.",P16035,PCA,['TIMP-2'],['PCA'],[],[],['TIMP-2'],['PCA'],,135403803,"The document discusses the effects of Pera and Moro orange juice on various proteins in healthy rats. Specifically, it mentions the evaluation of tissue inhibitor of metalloproteinase (TIMP)-2 protein expression by Western blotting. The results indicate that TIMP-2 protein expression did not differ between the control, Pera orange juice, and Moro orange juice groups. This suggests that the ingestion of Pera and Moro orange juice does not affect the expression of TIMP-2 in healthy rats.",Pera orange juice,Tissue inhibitor of metalloproteinases 2 (TIMP-2),The ingestion of Pera orange juice does not affect the expression of TIMP-2 in healthy rats.,['TIMP-2 protein expression did not differ between groups.'],Neutral,The study evaluated the effects of Pera and Moro orange juice on various proteins in healthy rats to identify possible metabolic pathways and their effects on the heart.
PMC10695158,Effects of N-butanol extract of Amygdalus mongolica on rats with bleomycin-induced pulmonary fibrosis based on metabolomics.,"Pulmonary fibrosis (PF) is a major public health issue with limited treatment options. As the active ingredient of the n-butanol extract of Amygdalus mongolica (BUT), amygdalin inhibits PF. However, its mechanisms of action are unclear and need further verification. Therefore, the purpose of the present studies was to investigate the anti-fibrotic effects of BUT on PF by serum metabolomics and the transforming growth factor β (TGF-β) pathway. Sixty male Sprague-Dawley rats were randomly divided into control, untreated PF, prednisone-treated (5 mg/kg), and BUT-treated (1.75, 1.25, 0.75 g/kg) groups, and the respective drugs were administered intragastrically for 21 days. The serum metabolomics profiles were determined by ultra-performance liquid chromatography quadrupole time-of-flight mass spectrometry (UPLC-QTOF/MS) and metabolism network analysis. The expression of TGF-β1, Smad-3, Smad-7, and α-smooth muscle actin (α-SMA) was measured using a real-time polymerase chain reaction in the lung tissue. BUT significantly alleviated fibrosis by reducing the mRNA expressions of TGF-β1 (from 1.73 to 1.13), Smad-3 (from 2.01 to 1.19), and α-SMA (from 2.14 to 1.19) and increasing that of Smad7 (from 0.17 to 0.62). Twenty-eight potential biomarkers associated with PF were identified. In addition, four key biomarkers were restored to baseline levels following BUT treatment, with the lowest dose showing optimal effect. Furthermore, A. mongolica BUT was found to improve PF by the pentose phosphate pathway and by taurine, hypotaurine, and arachidonic acid metabolism. These findings revealed the mechanism of A. mongolica BUT antifibrotic effects and metabolic activity in PF rats and provided the experimental basis for its clinical application.",P84022,PCA,"['Smad3', 'SMAD3']",['PCA'],[],[],"['Smad3', 'SMAD3']",['PCA'],,135403803,"The document discusses the effects of the N-butanol extract of Amygdalus mongolica (BUT) on rats with bleomycin-induced pulmonary fibrosis (PF). The study specifically investigates the anti-fibrotic effects of BUT by examining the transforming growth factor β (TGF-β) pathway. The protein of interest, Smad3, is part of the TGF-β signaling pathway, which is known to play a significant role in fibrosis. The document provides quantitative data showing that BUT treatment significantly reduces the mRNA expression levels of Smad3 in lung tissue, indicating a downregulation effect. This conclusion is supported by the targeted sentences that explicitly mention the reduction in Smad3 expression due to BUT treatment. The context of the health-care scenario is the treatment of pulmonary fibrosis, a chronic lung disease, using a traditional Chinese medicine extract.",N-butanol extract of Amygdalus mongolica,Smad3,"N-butanol extract of Amygdalus mongolica significantly reduces the mRNA expression levels of Smad3 in lung tissue, indicating a downregulation effect.","['BUT significantly alleviated fibrosis by reducing the mRNA expressions of TGF-β1 (from 1.73 to 1.13), Smad-3 (from 2.01 to 1.19), and α-SMA (from 2.14 to 1.19) and increasing that of Smad7 (from 0.17 to 0.62).', 'Furthermore, determination of the mRNA levels of TGF-β1, Smad-3, Smad-7, and α-SMA after PED and BUT treatments showed that the mRNA expression of Smad-7 was significantly increased, whereas that of TGF-β1, Smad-3, and α-SMA was significantly inhibited compared with the MOD group (P<0.05).']",Downregulation,Treatment of pulmonary fibrosis using a traditional Chinese medicine extract.
PMC10767420,Genotypic variants of the tetrahydrobiopterin (BH4) biosynthesis genes in patients with hyperphenylalaninemia from different regions of Iran.,"Hyperphenylalaninemia (HPA) is a metabolic disorder classified into phenylalanine-4-hydroxylase (PAH) and non-PAH deficiency. The latter is produced by mutations in genes involved in the tetrahydrobiopterin (BH4) biosynthesis pathway and DNAJC12 pathogenetic variants. The BH4 metabolism, including de novo biosynthesis involved genes (i.e., guanosine 5'-triphosphate cyclohydrolase I (GTPCH/GCH1), sepiapterin reductase (SR/SPR), 6-pyruvoyl-tetrahydropterin synthase (PTPS/PTS)), and two genes that play roles in cofactor regeneration pathway (i.e., dihydropteridine reductase (DHPR/QDPR) and pterin-4α-carbinolamine dehydratase (PCD/PCBD1)). The subsequent systemic hyperphenylalaninemia and monoamine neurotransmitter deficiency lead to neurological consequences. The high rate of consanguineous marriages in Iran substantially increases the incidence of BH4 deficiency.",P00533,Pterin,['Genes'],['Pterin'],[],[],['Genes'],['Pterin'],,135398660,"The document discusses the effects of tetrahydrobiopterin (BH4) on various proteins involved in the biosynthesis and metabolism of BH4. Specifically, it mentions the impact of BH4 on the activity of phenylalanine hydroxylase (PAH) and other enzymes. The document also highlights the role of BH4 in stabilizing the activated form of PAH in response to increased phenylalanine (Phe) concentration in the blood. This indicates that BH4 upregulates the activity of PAH by stabilizing its activated form. The targeted sentences from the document that contain this relation are: 'In response to increased Phe concentration in the blood, the structure of PAH changes to its activated form stabilized by BH4.' The context of the health-care scenario is the treatment of hyperphenylalaninemia (HPA) and phenylketonuria (PKU), where BH4 is used to manage blood Phe levels and prevent neurological disorders.",Tetrahydrobiopterin (BH4),Phenylalanine hydroxylase (PAH),"BH4 stabilizes the activated form of PAH in response to increased phenylalanine concentration in the blood, thereby enhancing its activity.","['In response to increased Phe concentration in the blood, the structure of PAH changes to its activated form stabilized by BH4.']",Upregulation,Treatment of hyperphenylalaninemia (HPA) and phenylketonuria (PKU) to manage blood phenylalanine levels and prevent neurological disorders.
