PMC,Protein,Drug,ProteinNames,DrugNames
PMC7522988,O00206,Pterin,"['Toll-like receptor 4', 'TOLL']","['Pterin', 'Pterine']"
PMC10767420,P00533,Pterin,['Genes'],['Pterin']
PMC3500442,P00533,Pterin,['Genes'],['Pterin']
PMC11021867,P00533,XA,['Genes'],['Yeast powder']
PMC2892419,P00533,XA,['Genes'],['XANTHOPTERIN']
PMC7522988,P01584,Pterin,['IL-1'],"['Pterin', 'Pterine']"
PMC10767420,P04637,Pterin,['Genes'],['Pterin']
PMC3500442,P04637,Pterin,['Genes'],['Pterin']
PMC2892419,P04637,XA,['Genes'],['XANTHOPTERIN']
PMC11021867,P04637,XA,['Genes'],['Yeast powder']
PMC7425811,P05231,PGA,"['Interleukin-6', 'IL-6']",['para-aminobenzoylglutamic acid']
PMC7425811,P05231,PGA,"['Interleukin-6', 'IL-6']",['para-aminobenzoylglutamic acid']
PMC7425811,P05231,PGA,"['Interleukin-6', 'IL-6']",['para-aminobenzoylglutamic acid']
PMC7425811,P05231,PGA,"['Interleukin-6', 'IL-6']",['para-aminobenzoylglutamic acid']
PMC7425811,P05231,PGA,"['Interleukin-6', 'IL-6']",['para-aminobenzoylglutamic acid']
PMC7425811,P05231,PGA,"['Interleukin-6', 'IL-6']",['para-aminobenzoylglutamic acid']
PMC7425811,P05231,PGA,"['Interleukin-6', 'IL-6']",['para-aminobenzoylglutamic acid']
PMC7425811,P05231,PGA,"['Interleukin-6', 'IL-6']",['para-aminobenzoylglutamic acid']
PMC7425811,P05231,PGA,"['Interleukin-6', 'IL-6']",['para-aminobenzoylglutamic acid']
PMC7425811,P05231,PGA,"['Interleukin-6', 'IL-6']",['para-aminobenzoylglutamic acid']
PMC7425811,P05231,PGA,"['Interleukin-6', 'IL-6']",['para-aminobenzoylglutamic acid']
PMC7522988,P05231,Pterin,['IL-6'],"['Pterin', 'Pterine']"
PMC7522988,P05231,Pterin,['IL-6'],"['Pterin', 'Pterine']"
PMC4357386,P05362,Pterin,['ICAM-1'],['Pterin']
PMC4357386,P05362,Pterin,['ICAM-1'],['Pterin']
PMC7425811,P10145,PGA,"['IL-8', 'LECT']",['para-aminobenzoylglutamic acid']
PMC7425811,P10145,PGA,"['IL-8', 'LECT']",['para-aminobenzoylglutamic acid']
PMC7425811,P10145,PGA,"['IL-8', 'LECT']",['para-aminobenzoylglutamic acid']
PMC7425811,P10145,PGA,"['IL-8', 'LECT']",['para-aminobenzoylglutamic acid']
PMC7425811,P10145,PGA,"['IL-8', 'LECT']",['para-aminobenzoylglutamic acid']
PMC7425811,P10145,PGA,"['IL-8', 'LECT']",['para-aminobenzoylglutamic acid']
PMC7425811,P10145,PGA,"['IL-8', 'LECT']",['para-aminobenzoylglutamic acid']
PMC7425811,P10145,PGA,"['IL-8', 'LECT']",['para-aminobenzoylglutamic acid']
PMC7425811,P10145,PGA,"['IL-8', 'LECT']",['para-aminobenzoylglutamic acid']
PMC7425811,P10145,PGA,"['IL-8', 'LECT']",['para-aminobenzoylglutamic acid']
PMC7425811,P10145,PGA,"['IL-8', 'LECT']",['para-aminobenzoylglutamic acid']
PMC7425811,P10145,PGA,"['IL-8', 'LECT']",['para-aminobenzoylglutamic acid']
PMC3049152,P10145,Pterin,"['IL-8', 'Interleukin-8', 'IL8', 'NAF', 'LECT']","['Pterin', 'Pterine']"
PMC7581551,P22301,Pterin,"['IL-10', 'IL10', 'Interleukin-10']",['Pterin']
PMC5301278,P28482,PCA,['p41'],['6-Carboxypterin']
PMC5432002,P28482,Pterin,"['ERK', 'p41']",['Pterin']
PMC7522988,P35354,Pterin,['COX-2'],"['Pterin', 'Pterine']"
PMC3191102,Q03135,Pterin,['Caveolin-1'],['Pterin']
PMC6312759,Q16236,Pterin,"['nuclear factor', 'Nuclear factor']",['Pterin']
PMC6312759,Q16236,Pterin,"['nuclear factor', 'Nuclear factor']",['Pterin']
PMC1682436,Q16236,Pterin,"['nuclear factor', 'Nuclear factor']",['Pterin']
