PMC,PMCtitle,PMCabstract,Query_Protein,Query_Drug,ProteinNames,DrugNames,FuzzyMatchProtein,FuzzyMatchDrug,ExactMatchProtein,ExactMatchDrug
PMC7522988,"Interaction between MyD88, TIRAP and IL1RL1 against Helicobacter pylori infection.","The Toll-interleukin 1 receptor superfamily includes the genes interleukin 1 receptor-like 1 (IL1RL1), Toll like receptors (TLRs), myeloid differentiation primary-response 88 (MyD88), and MyD88 adaptor-like (TIRAP). This study describes the interaction between MyD88, TIRAP and IL1RL1 against Helicobacter pylori infection. Cases and controls were genotyped at the polymorphic sites MyD88 rs6853, TIRAP rs8177374 and IL1RL1 rs11123923. The results show that specific combinations of IL1RL1-TIRAP (AA-CT; P: 2,8 × 10",O00206,Pterin,"['Toll-like receptor 4', 'TOLL']","['Pterin', 'Pterine', 'Pterin', 'Pterin', 'Pterine']",[],[],"['Toll-like receptor 4', 'TOLL']","['Pterin', 'Pterine', 'Pterin', 'Pterin', 'Pterine']"
PMC8673433,Mechanism of Anti-Inflammatory Activity of TLR4-Interacting SPA4 Peptide.,"The TLR4-interacting SPA4 peptide suppresses inflammation. We assessed the structural and physicochemical properties and binding of SPA4 peptide to TLR4-MD2. We also studied the changes at the whole transcriptome level, cell morphology, viability, secreted cytokines and chemokines, and cell influx in cell systems and mouse models challenged with LPS and treated with SPA4 peptide. Our results demonstrated that the SPA4 peptide did not alter the cell viability and size and only moderately affected the transcriptome of the cells. Computational docking and rendering suggested that the SPA4 peptide intercalates with LPS-induced TLR4-MD2 complex. Results with alanine mutations of D-2 amino acid and NYTXXXRG-12-19 motif of SPA4 peptide suggested their role in binding to TLR4 and in reducing the cytokine response against LPS stimulus. Furthermore, therapeutically administered SPA4 peptide significantly suppressed the secreted levels of cytokines and chemokines in cells and bronchoalveolar lavage fluids of LPS-challenged mice. The results suggest that the SPA4 peptide intercalates with LPS-induced TLR4 complex and signaling for the suppression of inflammation.",O00206,XA,"['TLR4', 'TLR4', 'Toll-like receptor 4', 'TOLL']",['XA'],['TLR4'],[],"['TLR4', 'Toll-like receptor 4', 'TOLL']",['XA']
PMC8351238,Quest for Novel Preventive and Therapeutic Options Against Multidrug-Resistant,,O00206,XA,"['TLR4', 'TLR-4']",['XA'],[],[],"['TLR4', 'TLR-4']",['XA']
PMC8673433,Mechanism of Anti-Inflammatory Activity of TLR4-Interacting SPA4 Peptide.,"The TLR4-interacting SPA4 peptide suppresses inflammation. We assessed the structural and physicochemical properties and binding of SPA4 peptide to TLR4-MD2. We also studied the changes at the whole transcriptome level, cell morphology, viability, secreted cytokines and chemokines, and cell influx in cell systems and mouse models challenged with LPS and treated with SPA4 peptide. Our results demonstrated that the SPA4 peptide did not alter the cell viability and size and only moderately affected the transcriptome of the cells. Computational docking and rendering suggested that the SPA4 peptide intercalates with LPS-induced TLR4-MD2 complex. Results with alanine mutations of D-2 amino acid and NYTXXXRG-12-19 motif of SPA4 peptide suggested their role in binding to TLR4 and in reducing the cytokine response against LPS stimulus. Furthermore, therapeutically administered SPA4 peptide significantly suppressed the secreted levels of cytokines and chemokines in cells and bronchoalveolar lavage fluids of LPS-challenged mice. The results suggest that the SPA4 peptide intercalates with LPS-induced TLR4 complex and signaling for the suppression of inflammation.",O00206,XA,"['TLR4', 'TLR4', 'Toll-like receptor 4', 'TOLL']",['XA'],['TLR4'],[],"['TLR4', 'Toll-like receptor 4', 'TOLL']",['XA']
PMC8351238,Quest for Novel Preventive and Therapeutic Options Against Multidrug-Resistant,,O00206,XA,"['TLR4', 'TLR-4']",['XA'],[],[],"['TLR4', 'TLR-4']",['XA']
PMC4703520,"2-Amino-4-(3,4-(methylenedioxy)benzylamino)-6-(3-methoxyphenyl)pyrimidine is an anti-inflammatory TLR-2, -4 and -5 response mediator in human monocytes.","To elucidate the influence of 2-amino-4-(3,4-(methylenedioxy)benzylamino)-6-(3-methoxyphenyl)pyrimidine (AMBMP), a canonical Wnt/β-catenin pathway activator, on the inflammatory response of TLR-engaged innate cells in vitro.",O00206,XA,"['TLR4', 'TOLL', 'TLR-4']",['XA'],[],[],"['TLR4', 'TOLL', 'TLR-4']",['XA']
PMC4703520,"2-Amino-4-(3,4-(methylenedioxy)benzylamino)-6-(3-methoxyphenyl)pyrimidine is an anti-inflammatory TLR-2, -4 and -5 response mediator in human monocytes.","To elucidate the influence of 2-amino-4-(3,4-(methylenedioxy)benzylamino)-6-(3-methoxyphenyl)pyrimidine (AMBMP), a canonical Wnt/β-catenin pathway activator, on the inflammatory response of TLR-engaged innate cells in vitro.",O00206,XA,"['TLR4', 'TOLL', 'TLR-4']",['XA'],[],[],"['TLR4', 'TOLL', 'TLR-4']",['XA']
PMC8673433,Mechanism of Anti-Inflammatory Activity of TLR4-Interacting SPA4 Peptide.,"The TLR4-interacting SPA4 peptide suppresses inflammation. We assessed the structural and physicochemical properties and binding of SPA4 peptide to TLR4-MD2. We also studied the changes at the whole transcriptome level, cell morphology, viability, secreted cytokines and chemokines, and cell influx in cell systems and mouse models challenged with LPS and treated with SPA4 peptide. Our results demonstrated that the SPA4 peptide did not alter the cell viability and size and only moderately affected the transcriptome of the cells. Computational docking and rendering suggested that the SPA4 peptide intercalates with LPS-induced TLR4-MD2 complex. Results with alanine mutations of D-2 amino acid and NYTXXXRG-12-19 motif of SPA4 peptide suggested their role in binding to TLR4 and in reducing the cytokine response against LPS stimulus. Furthermore, therapeutically administered SPA4 peptide significantly suppressed the secreted levels of cytokines and chemokines in cells and bronchoalveolar lavage fluids of LPS-challenged mice. The results suggest that the SPA4 peptide intercalates with LPS-induced TLR4 complex and signaling for the suppression of inflammation.",O00206,XA,"['TLR4', 'TLR4', 'Toll-like receptor 4', 'TOLL']",['XA'],['TLR4'],[],"['TLR4', 'Toll-like receptor 4', 'TOLL']",['XA']
PMC7847520,A naturally derived small molecule NDSM253 inhibits IKK1 to suppress inflammation response and promote bone healing after fracture.,"Bone fracture induces an acute inflammatory response in the resident and peripheral monocyte/macrophage cells. Excessive amounts of proinflammatory cytokines can cause severe tissue damage and inhibit bone healing. The proinflammatory cytokine genes are mainly controlled by TLR4/NF-κB (Toll-like receptor 4/Nuclear factor κB). Thus, targeting the molecules in this signaling pathway to decrease the expression of proinflammatory cytokines is an effective strategy to inhibit the inflammatory response. Herein, we identified a naturally derived small molecule NDSM253 that specifically inhibited IKKα (Inhibitor of NF-κB kinase subunit-alpha), a critical component of TLR4/NF-κB signaling. Biochemically, NDMS253 decreased phosphorylation of IκB (Inhibitor of NF-κB), thereby increasing the binding of IκB-NF-κB and suppressing the proinflammatory cytokine gene expression. NDMS253 showed a much stronger inhibitory effect on proinflammatory cytokine gene expression than did the known IKK inhibitors, including ACHP (2-Amino-6-[2-(cyclopropylmethoxy)-6-hydroxyphenyl]-4-(4-piperidinyl)-3-pyridinecarbonitrile), IKK16, and Amlexanox. Administration of these IKK inhibitors in a mouse femoral fracture model showed that NDSM253 suppressed proinflammatory cytokine genes, thereby promoting bone healing, while the other three IKK inhibitors showed a weaker improvement of both bone healing and circulating proinflammatory cytokines. Collectively, our data suggested that NDSM253 might be an effective inhibitor of IKKα that could inhibit inflammatory cytokine action in bone injury.",O00206,XA,"['TLR4', 'Toll-like receptor 4', 'TOLL']",['XA'],[],[],"['TLR4', 'Toll-like receptor 4', 'TOLL']",['XA']
PMC5574301,Short-Term Regulation of Fc,"TLRs recognize a broad spectrum of microorganism molecules, triggering a variety of cellular responses. Among them, phagocytosis is a critical process for host defense. Leukotrienes (LTs), lipid mediators produced from 5-lipoxygenase (5-LO) enzyme, increase Fc",O00206,XA,"['TLR4', 'Toll-like receptor 4', 'TOLL']",['XA'],[],[],"['TLR4', 'Toll-like receptor 4', 'TOLL']",['XA']
